anonid;took_fall;took_year;tookanother;numeconclass;econmajor;Major;Major_STEM;Major_Business;Major_Finance;Major_Marketing;Major_SocSc;Major_Arts;Major_Comm;Major_Hum;female;greek;econ_hs;varsity;class_fe;class_fe2;yr_2016;treatment_class;treat2016;female_prof;instate;freshman;american;ACumGPA;gradePrinciples;small_class;grade3301;fem2016;femtreat16;female_treat;Testscore3301;top;surveyed;ecojobs_a;ecojobs_b;ecojobs_c;ecojobs_d;ecojobs_e;ecojobs_f;ecojobs_g;ecojobs_h;major_current_a;major_current_b;survey_econmajor
1050;0;0;0;0;0;WL: French - BA;0;0;0;0;0;0;0;1;1;1;1;0;8;8;1;0;0;0;0;1;1;3.57;3.3299999;1;;1;0;0;;0;1;Government job;Business;;;;;;;Business;Worl Languages;0
1051;0;0;1;1;0;Markets & Culture - BA;0;0;0;0;1;0;0;0;1;;;;5;5;1;0;0;0;0;1;1;3.086;.33000001;0;;1;0;0;;0;0;;;;;;;;;;;
1052;0;1;1;1;0;Finance - BBA;0;0;1;0;0;0;0;0;0;0;1;0;8;8;1;0;0;0;0;1;1;3.531;3.6700001;1;3.3299999;0;0;0;.85;0;1;;;;;;;;;Finance;;0
1053;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;1;1;0;2;2;1;1;1;1;0;1;1;3.733;3;0;;0;0;0;;1;1;Investment Banking;Corporate Finance;Research Firm;Private Equity;Own Business;;;;Finance;Accounting;0
1054;0;0;0;0;0;Marketing - BBA;0;0;0;1;0;0;0;0;1;;;;9;9;1;0;0;1;0;0;1;3.594;4;0;;1;0;0;;0;0;;;;;;;;;;;
1055;0;0;0;0;0;Undecided DCI;0;0;0;0;0;1;0;1;0;;;;1;1;1;1;1;0;0;1;1;1.18;0;0;;0;0;0;;0;0;;;;;;;;;;;
1056;0;0;0;0;0;Accounting - BBA;0;1;0;0;0;0;0;0;0;0;1;0;5;5;1;0;0;0;0;1;1;3.288;2.6700001;0;;0;0;0;;0;1;;;;;;;;;Finance;Advertising;0
1057;0;0;1;2;0;Political Science - BA;0;0;0;0;1;0;0;0;0;;;;5;5;1;0;0;0;0;1;1;3.117;2.6700001;0;;0;0;0;;0;0;;;;;;;;;;;
1058;0;1;1;1;0;Finance - BBA;0;0;1;0;0;0;0;0;0;0;1;0;6;6;1;0;0;1;1;1;0;3.657;4;0;4;0;0;0;.85;0;1;Economics Professor;Jobs about Finance;Government;Accounting;;;;;EMIS;Math;0
1059;0;0;0;0;0;Marketing - BBA;0;0;0;1;0;0;0;0;1;0;1;1;3;3;1;1;1;0;0;1;1;3.182;2.3299999;0;;1;1;1;;0;1;Personal economics advisor;Economics advisor for company;Marketer;;;;;;Marketing;Psychology;0
1060;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;0;1;1;4;4;1;1;1;1;1;0;1;3.666;3.3299999;1;;0;0;0;;0;1;Marketing;CPA;High school teacher;Professor;Entrepreneur;Real estate;;;Commercial Real Estate;Economics;1
1061;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;0;0;0;5;5;1;0;0;0;0;1;1;3.185;3;0;;0;0;0;;0;1;CEO;CFO;Consultant;Professor;Aide to politician;;;;EMIS;Business;0
1062;0;1;1;1;0;Marketing - BBA;0;0;0;1;0;0;0;0;1;1;0;0;3;3;1;1;1;0;0;1;1;3.429;2.6700001;0;4;1;1;1;.7;0;1;Teacher;Writer;;;;;;;Business;;0
1063;1;1;1;6;1;Economics - BA;0;0;0;0;0;0;0;0;1;;;;9;9;1;0;0;1;0;1;1;3.925;4;0;4;1;0;0;;1;0;;;;;;;;;;;
1064;0;0;0;0;0;General Business - BBA;0;1;0;0;0;0;0;0;1;1;1;0;2;2;1;1;1;1;1;1;1;4;4;0;;1;1;1;;1;1;Corporate;;;;;;;;Finance;Marketing;0
1065;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;;;;6;6;1;0;0;1;0;1;1;3.419;3;0;;0;0;0;;0;0;;;;;;;;;;;
1066;0;0;0;0;0;Real Estate Finance - BBA;0;0;1;0;0;0;0;0;1;;;;8;8;1;0;0;0;0;1;1;3.168;3;1;;1;0;0;;0;0;;;;;;;;;;;
1067;0;0;0;0;0;Political Science - BA;0;0;0;0;1;0;0;0;1;;;;3;3;1;1;1;0;0;1;1;2.966;2;0;;1;1;1;;0;0;;;;;;;;;;;
1068;0;0;0;0;0;General Business - BBA;0;1;0;0;0;0;0;0;0;1;0;0;5;5;1;0;0;0;0;1;1;3.212;2.6700001;0;;0;0;0;;0;1;Investor;Private equity;;;;;;;Business;;0
1069;0;0;1;9;1;Economics - BA;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;0;1;2.375;2;0;;0;0;0;;0;1;Analyst;;;;;;;;Economics;;1
1070;0;0;0;0;0;Political Science - BA;0;0;0;0;1;0;0;0;0;0;1;0;1;1;1;1;1;0;1;0;1;2.772;1;0;;0;0;0;;0;1;Accounting job;Finance;Fed;;;;;;Political Science;;0
1071;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;;;;2;2;1;1;1;1;0;1;1;3.026;2;0;;0;0;0;;0;0;;;;;;;;;;;
1072;0;0;0;0;0;Undecided DCI;0;0;0;0;0;1;0;1;1;0;0;0;1;1;1;1;1;0;0;1;1;2.756;1;0;;1;1;1;;0;1;Marketing;Economist;Lawyer;;;;;;Advertising;Marketing;0
1073;0;0;0;0;0;Computer Science - PMJ;1;0;0;0;0;0;0;0;0;0;1;0;2;2;1;1;1;1;1;1;1;3.446;2.3299999;0;;0;0;0;;0;1;;;;;;;;;Marketing;Finance;0
1074;0;0;0;0;0;Corp Comm & Public Affrs - BA;0;0;0;0;0;0;1;0;1;1;1;0;9;9;1;0;0;1;0;1;1;3.709;3.3299999;0;;1;0;0;;1;1;Government;Teacher;Business;;;;;;Marketing;;0
1075;0;0;0;0;0;General Business - BBA;0;1;0;0;0;0;0;0;1;0;0;1;4;4;1;1;1;1;0;1;0;3.834;3.6700001;1;;1;1;1;;1;1;Working for a large corporation;Investment banker;Marketing;Government;;;;;Business;;0
1076;0;0;0;0;0;International Studies - BA;0;0;0;0;1;0;0;0;1;1;0;0;2;2;1;1;1;1;0;1;1;3.481;2.6700001;0;;1;1;1;;0;1;Bonds salesman;Stockbroker;;;;;;;Political Science;Business;0
1077;0;0;0;0;0;Management Science - BS;0;1;0;0;0;0;0;0;1;;;;6;6;1;0;0;1;0;1;1;3.588;3.3299999;0;;1;0;0;;0;0;;;;;;;;;;;
1078;0;1;1;1;0;Marketing - BBA;0;0;0;1;0;0;0;0;1;;;;3;3;1;1;1;0;0;1;1;3.424;3.6700001;0;3;1;1;1;.7;0;0;;;;;;;;;;;
1079;0;0;0;0;0;Advertising - BA;0;0;0;0;0;0;1;0;1;1;1;0;6;6;1;0;0;1;0;1;1;3.472;2;0;;1;0;0;;0;1;;;;;;;;;Marketing;Fashion Media;0
1080;0;0;0;0;0;Marketing - BBA;0;0;0;1;0;0;0;0;1;1;0;0;1;1;1;1;1;0;0;1;1;3.571;3;0;;1;1;1;;0;1;Business;Banking;Insurance;Retail;Marketing;;;;Marketing;Advertising;0
1081;0;0;1;9;1;Economics w/ Fina Appl - BS;0;0;0;0;0;0;0;0;0;;;;2;2;1;1;1;1;0;1;1;3.239;2.6700001;0;;0;0;0;;0;0;;;;;;;;;;;
1082;0;0;0;0;0;French - BA;0;0;0;0;0;0;0;1;1;1;1;0;9;9;1;0;0;1;0;1;1;3.555;3;0;;1;0;0;;0;1;;;;;;;;;Psychology;Business;0
1083;0;0;0;0;0;Religious Studies - PMJ;0;0;0;0;0;0;0;1;0;0;1;0;6;6;1;0;0;1;0;1;1;3.84;4;0;;0;0;0;;1;1;Government;News Channel;Researcher;Non-Profit;;;;;Pre-med;Spanish;0
1084;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;1;1;0;3;3;1;1;1;0;0;1;1;3.689;4;0;;0;0;0;;0;1;Fed;Investment Banking;Marketing;;;;;;Finance;Real Estate;0
1085;0;0;0;0;0;Mathematics - BS;1;0;0;0;0;0;0;0;1;1;0;0;5;5;1;0;0;0;0;1;1;3.621;4;0;;1;0;0;;0;1;Economics teacher;;;;;;;;;EMIS;0
1086;0;0;0;0;0;Corp Comm & Public Affrs - BA;0;0;0;0;0;0;1;0;1;;;;6;6;1;0;0;1;0;1;1;3.511;3;0;;1;0;0;;0;0;;;;;;;;;;;
1087;1;1;1;5;1;Economics - BA;0;0;0;0;0;0;0;0;1;;;;3;3;1;1;1;0;0;1;1;3.3;2.6700001;0;2.3299999;1;1;1;.55;0;0;;;;;;;;;;;
1088;1;1;1;3;0;Accounting - BBA;0;1;0;0;0;0;0;0;1;0;0;0;2;2;1;1;1;1;0;1;1;3.57;3.6700001;0;4;1;1;1;;0;1;Fed;;;;;;;;Business Management;Fashion Media;0
1089;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;1;1;0;2;2;1;1;1;1;0;1;1;3.968;4;0;;0;0;0;;1;1;Economist;;;;;;;;Finance;;0
1090;0;0;0;0;0;Human Rights - BA;0;0;0;0;1;0;0;0;1;;;;;30;0;0;0;0;0;1;1;2.11;1.67;1;;0;0;0;;0;0;;;;;;;;;;;
1091;0;0;1;1;0;International Studies - BA;0;0;0;0;1;0;0;0;1;0;0;0;6;6;1;0;0;1;0;1;1;3.23;2;0;;1;0;0;;0;1;Professor;Fed;Researcher;Analyzing economy for a company;;;;;Markets and Culture;Spanish;0
1092;0;0;0;0;0;Business - PMJ;0;1;0;0;0;0;0;0;0;0;1;1;5;5;0;0;0;0;0;1;1;1.75;0;0;;0;0;0;;0;1;Financial advisor;Accountant;Stock broker;Personal banker;Investment advisor;;;;Business;;0
1093;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;1;1;0;0;1;1;3.424;4;0;;0;0;0;;0;1;Risk Manager;;;;;;;;Finance;;0
1094;0;0;0;0;0;Business - PMJ;0;1;0;0;0;0;0;0;0;0;1;0;7;7;1;0;0;0;1;1;1;3.78;3.6700001;1;;0;0;0;;1;1;Jobs in business;Govt work;Teaching;News reporting;Journalism;Banking;Accounting;;Finance;;0
1095;0;0;0;0;0;Real Estate Finance - BBA;0;0;1;0;0;0;0;0;0;1;0;0;3;3;1;1;1;0;0;1;1;3.373;3;0;;0;0;0;;0;1;;;;;;;;;Business;Real Estate;0
1096;0;0;0;0;0;Marketing - BBA;0;0;0;1;0;0;0;0;1;1;1;0;2;2;1;1;1;1;0;1;1;3.65;3.3299999;0;;1;1;1;;0;1;Economic Advisor;Professor;;;;;;;Marketing;Management;0
1097;1;1;1;11;1;Economics w/ Fina Appl - BS;0;0;0;0;0;0;0;0;0;0;1;0;8;8;1;0;0;0;0;1;0;2.677;1.67;1;2;0;0;0;.4;0;1;Market analysis;Marketing;Advertising;;;;;;Economics;Political Science;1
1098;0;0;0;0;0;General Business - BBA;0;1;0;0;0;0;0;0;0;1;0;0;;32;1;0;0;1;0;1;1;3.347;3;1;;0;0;0;;0;1;Economist;;;;;;;;Finance;;0
1099;0;0;0;0;0;Mathematics - BS;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;1;0;3.63;3;0;;0;0;1;;0;1;Business analyst;Economist;Business Counselor;;;;;;Mathematics;;0
1100;0;0;0;0;0;English - PMJ;0;0;0;0;0;0;0;1;0;0;0;0;2;2;0;1;0;1;0;1;1;2.7;1.33;0;;0;0;0;;0;1;;;;;;;;;Business;;0
1101;0;0;0;0;0;Political Science - BA;0;0;0;0;1;0;0;0;0;1;1;0;2;2;1;1;1;1;0;1;1;3.533;3;0;;0;0;0;;0;1;You can do anything if you are smart enough;;;;;;;;Business;;0
1102;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;1;1;0;6;6;1;0;0;1;0;1;1;3.396;3.6700001;0;;0;0;0;;0;1;Banking;Finance;Advisor;;;;;;Business management;;0
1103;0;0;1;1;0;Applied Phys & Sport Mgmt - BS;1;0;0;0;0;0;0;0;1;0;1;1;6;6;1;0;0;1;0;1;1;3.109;2;0;;1;0;0;;0;1;Business;Making your own organization;Keeping track of money;Own business;;;;;Business;Advertising;0
1104;0;0;0;0;0;General Business - BBA;0;1;0;0;0;0;0;0;0;0;0;0;3;3;0;1;0;0;0;1;1;3.125;3.3299999;0;;0;0;0;;0;1;Financial advisor;Banking;Accounts Payable Clerk;;;;;;Business;Biology;0
1105;0;0;0;0;0;Fashion Media - BA;0;0;0;0;0;1;0;0;1;1;1;0;6;6;1;0;0;1;0;1;1;3.67;2.3299999;0;;1;0;0;;0;1;;;;;;;;;Marketing;Fashion Media;0
1106;0;0;0;0;0;History - PMJ;0;0;0;0;0;0;0;1;1;0;1;0;;32;1;0;0;1;0;1;1;3.188;3;1;;1;0;0;;0;1;Any business related job except accountant;;;;;;;;Business Marketing;;0
1107;1;1;1;11;1;Economics - BS;0;0;0;0;0;0;0;0;0;0;0;0;;32;1;0;0;1;0;1;0;3.245;3;1;3;0;0;0;.7;0;1;Manager;CEO;CFO;;;;;;Statistics;Economics;1
1108;0;0;0;0;0;Accounting - BBA;0;1;0;0;0;0;0;0;1;1;1;0;7;7;1;0;0;0;0;1;1;3.472;3;1;;1;0;0;;0;1;Stock broker;Investment banker;Money manager;Economics professor;;;;;Accounting;;0
1109;0;0;0;0;0;Art - BFA;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;1;1;0;1;1;1;2.48;2;0;;0;0;0;;0;1;Marketing;;;;;;;;Marketing;Video game design;0
1110;0;1;1;9;1;Economics w/ Fina Appl - BS;0;0;0;0;0;0;0;0;0;;;;6;6;1;0;0;1;0;1;1;2.777;2;0;3;0;0;0;.6;0;0;;;;;;;;;;;
1111;0;0;0;0;0;Philosophy - BA;0;0;0;0;0;0;0;1;0;;;;2;2;1;1;1;1;0;1;1;3.037;.33000001;0;;0;0;0;;0;0;;;;;;;;;;;
1112;0;1;1;12;1;Economics w/ Fina Appl - BS;0;0;0;0;0;0;0;0;0;;;;1;1;1;1;1;0;0;1;1;3.284;2;0;2.6700001;0;0;0;.45;0;0;;;;;;;;;;;
1113;0;0;0;0;0;Spanish - BA;0;0;0;0;0;0;0;1;1;1;0;0;9;9;1;0;0;1;0;1;1;3.56;4;0;;1;0;0;;0;1;Professor;Research;;;;;;;Management;Spanish;0
1114;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;;;;9;9;1;0;0;1;0;1;1;3.935;4;0;;0;0;0;;1;0;;;;;;;;;;;
1115;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;1;0;0;1;1;1;1;1;0;0;1;1;3.916;4;0;;0;0;0;;1;1;;;;;;;;;Finance;Film;0
1116;0;0;0;0;0;Political Science - PMJ;0;0;0;0;1;0;0;0;1;;;;8;8;1;0;0;0;0;1;1;3.7;3.3299999;1;;1;0;0;;1;0;;;;;;;;;;;
1117;1;1;1;4;1;Economics - BA;0;0;0;0;0;0;0;0;0;1;1;0;6;6;1;0;0;1;0;1;1;3;3;0;4;0;0;0;;0;1;;;;;;;;;Economics;Political Science;1
1118;0;0;1;1;0;Markets & Culture - BA;0;0;0;0;1;0;0;0;1;1;0;0;2;2;1;1;1;1;0;1;1;3.151;1.67;0;;1;1;1;;0;1;Economist;Financial advisor;Marketing;Finance;;;;;Marketing;Advertising;0
1119;0;0;0;0;0;Journalism - BA;0;0;0;0;0;0;0;1;1;1;0;0;3;3;1;1;1;0;0;1;1;2.946;2.3299999;0;;1;1;1;;0;1;Government policy jobs;Non-Profit;Financial Consulting;;;;;;Public Relations;;0
1120;0;1;1;11;1;Economics w/ Fina Appl - BS;0;0;0;0;0;0;0;0;1;1;0;0;6;6;1;0;0;1;0;1;1;3.538;3;0;2.6700001;1;0;0;.35;0;1;Corporation;Economics teacher;;;;;;;Finance;;0
1121;0;0;0;0;0;Psychology - BA;0;0;0;0;1;0;0;0;1;1;1;0;1;1;1;1;1;0;0;1;1;3.2;2;0;;1;1;1;;0;1;Accounting;Managing money;wall Street;;;;;;Psychology;Marketing;0
1122;0;0;0;0;0;Applied Phys & Sport Mgmt - BS;1;0;0;0;0;0;0;0;0;;;;6;6;1;0;0;1;0;1;1;3.387;3;0;;0;0;0;;0;0;;;;;;;;;;;
1123;0;0;1;1;0;Markets & Culture - BA;0;0;0;0;1;0;0;0;1;;;;3;3;0;1;0;0;0;1;1;2.555;1.67;0;;0;0;1;;0;0;;;;;;;;;;;
1124;0;0;0;0;0;Business - PMJ;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;1;1;2.05;1;0;;0;0;0;;0;1;CPA;Accountant;Economist;;;;;;Business;;0
1125;0;0;0;0;0;GSI - College Experience Prog;0;0;0;0;0;0;0;0;0;;;;1;1;1;1;1;0;0;1;1;4;4;0;;0;0;0;;1;0;;;;;;;;;;;
1126;0;0;0;0;0;Psychology - BA;0;0;0;0;1;0;0;0;0;1;1;0;5;5;1;0;0;0;1;1;1;3.144;2.3299999;0;;0;0;0;;0;1;Stockbroker;Econ teacher;Work in econ department at a certain company;;;;;;Advertising;;0
1127;0;1;1;12;1;Economics w/ Fina Appl - BS;0;0;0;0;0;0;0;0;0;0;1;1;3;3;1;1;1;0;1;1;1;2.688;1.67;0;3;0;0;0;0;0;1;Financial advisor;Manager;;;;;;;Economics;Management;1
1128;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;0;0;0;2;2;0;1;0;1;0;1;0;3.775;4;0;;0;0;0;;1;1;Analyst;Advisor;Banker;Economist;;;;;Finance;Business Administration;0
1129;0;0;0;0;0;Applied Phys & Sport Mgmt - BS;1;0;0;0;0;0;0;0;0;0;0;1;2;2;1;1;1;1;1;1;1;3.003;2;0;;0;0;0;;0;1;;;;;;;;;APSM;;0
1130;1;1;1;6;1;Economics - BA;0;0;0;0;0;0;0;0;1;1;1;0;2;2;1;1;1;1;0;1;1;3.293;3.3299999;0;4;1;1;1;.8;0;1;Banking;Advisor for companies;Business;;;;;;Accounting;Economics;1
1131;0;0;0;0;0;Accounting - BBA;0;1;0;0;0;0;0;0;0;;;;9;9;1;0;0;1;0;1;1;3.22;2.3299999;0;;0;0;0;;0;0;;;;;;;;;;;
1132;0;0;0;0;0;Management Science - BS;0;1;0;0;0;0;0;0;1;1;1;0;5;5;1;0;0;0;1;1;1;3.648;4;0;;1;0;0;;0;1;;;;;;;;;EMIS;Math;0
1133;1;1;1;6;1;Economics - BA;0;0;0;0;0;0;0;0;1;1;0;0;6;6;1;0;0;1;0;1;1;3.583;3;0;4;1;0;0;;0;1;Lawyer;Accountant;Corporate financial officer;Government work;Professor;;;;Finance;Economics;1
1134;0;0;1;1;0;Applied Phys & Sport Mgmt - BS;1;0;0;0;0;0;0;0;1;0;1;1;9;9;1;0;0;1;0;1;1;3.282;3.3299999;0;;1;0;0;;0;1;Stockbroker;Real estate;Banking;;;;;;Sports Management;;0
1135;1;1;1;2;0;Finance - BBA;0;0;1;0;0;0;0;0;1;1;1;0;2;2;0;1;0;1;0;1;1;3.675;4;0;4;0;0;1;.7;0;1;Banks;Investment banking;Credit union;Professor;Government;;;;Finance;;0
1136;1;1;1;11;1;Economics w/ Fina Appl - BS;0;0;0;0;0;0;0;0;0;;;;5;5;0;0;0;0;0;1;0;1.9;1.67;0;3;0;0;0;.4;0;0;;;;;;;;;;;
1137;0;0;1;1;0;Fashion Media - BA;0;0;0;0;0;1;0;0;1;1;1;0;3;3;1;1;1;0;0;1;1;2.966;2.3299999;0;;1;1;1;;0;1;Bank;Management;;;;;;;Marketing;;0
1138;0;0;0;0;0;Undecided DCI;0;0;0;0;0;1;0;1;1;0;0;0;6;6;1;0;0;1;0;0;0;3.673;3;0;;1;0;0;;0;1;Accountant;Economics;;;;;;;Finance;Math;0
1139;1;1;1;4;1;Economics - BA;0;0;0;0;0;0;0;0;1;1;0;0;4;4;1;1;1;1;0;1;1;3.971;3.6700001;1;4;1;1;1;.75;1;1;Any field of business;;;;;;;;Finance;Economics;1
1140;0;0;0;0;0;Advertising - BA;0;0;0;0;0;0;1;0;0;0;1;0;5;5;1;0;0;0;0;1;1;2.9;2.3299999;0;;0;0;0;;0;1;Analyst;;;;;;;;Marketing;Finance;0
1141;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;;;;2;2;1;1;1;1;0;1;1;3.5;2.3299999;0;;0;0;0;;0;0;;;;;;;;;;;
1142;0;1;1;8;1;Economics - BA;0;0;0;0;0;0;0;0;0;1;1;0;6;6;1;0;0;1;1;1;1;3;.33000001;0;2;0;0;0;.55;0;1;Banker;Economist;Economic researcher;Financial advisor;;;;;Finance;;0
1143;0;1;1;2;0;Philosophy - BA;0;0;0;0;0;0;0;1;0;;;;3;3;1;1;1;0;0;1;1;2.862;3;0;2.3299999;0;0;0;.45;0;0;;;;;;;;;;;
1144;0;0;0;0;0;Accounting - BBA;0;1;0;0;0;0;0;0;1;;;;7;7;1;0;0;0;0;1;1;3.91;3.6700001;1;;1;0;0;;1;0;;;;;;;;;;;
1145;0;0;0;0;0;Fashion Media - BA;0;0;0;0;0;1;0;0;1;1;1;0;4;4;1;1;1;1;1;1;1;2.909;.33000001;1;;1;1;1;;0;1;Teacher;;;;;;;;Public Relations;Fashion Media;0
1146;0;1;1;9;1;Economics - BA;0;0;0;0;0;0;0;0;1;;;;2;2;1;1;1;1;0;1;0;3.425;.33000001;0;2.6700001;1;1;1;.55;0;0;;;;;;;;;;;
1147;0;0;1;6;1;Economics - BA;0;0;0;0;0;0;0;0;0;0;1;0;6;6;1;0;0;1;0;1;1;3.7;3.6700001;0;;0;0;0;;1;1;Finance;Teaching;Fiscal policy making;;;;;;Finance;;0
1148;0;0;0;0;0;Political Science - BA;0;0;0;0;1;0;0;0;0;0;1;0;1;1;1;1;1;0;0;1;1;2.64;2.3299999;0;;0;0;0;;0;1;;;;;;;;;Business;Political Science;0
1149;0;0;0;0;0;Marketing - BBA;0;0;0;1;0;0;0;0;1;1;0;0;6;6;1;0;0;1;0;1;1;3.388;2;0;;1;0;0;;0;1;Economist;Professor;;;;;;;Finance;Marketing;0
1150;0;0;0;0;0;General Business - BBA;0;1;0;0;0;0;0;0;0;1;1;0;8;8;1;0;0;0;0;1;1;3.376;3.6700001;1;;0;0;0;;0;1;;;;;;;;;Finance;Real Estate Finance;0
1151;1;1;1;12;1;Economics w/ Fina Appl - BS;0;0;0;0;0;0;0;0;1;1;0;0;3;3;1;1;1;0;0;1;1;3.333;3.3299999;0;3;1;1;1;.4;0;1;Business school;Wall Street;;;;;;;Economics;;1
1152;0;0;0;0;0;Journalism - BA;0;0;0;0;0;0;0;1;1;1;0;0;6;6;1;0;0;1;0;1;1;3.4;2.3299999;0;;1;0;0;;0;1;Research;Government;Non-profit;;;;;;English;Journalism;0
1153;0;0;1;9;1;Economics - BA;0;0;0;0;0;0;0;0;0;;;;3;3;1;1;1;0;0;1;1;2.633;0;0;;0;0;0;;0;0;;;;;;;;;;;
1154;1;1;1;5;0;Public Policy - BA;0;0;0;0;1;0;0;0;0;;;;;30;0;0;0;0;0;1;0;1.5;1.67;1;3.3299999;0;0;0;.35;0;0;;;;;;;;;;;
1155;0;1;1;11;1;Economics w/ Fina Appl - BS;0;0;0;0;0;0;0;0;0;1;1;0;2;2;1;1;1;1;0;1;1;3.114;2.6700001;0;3;0;0;0;0;0;1;Business;;;;;;;;Business;;0
1156;0;0;0;0;0;Business - PMJ;0;1;0;0;0;0;0;0;0;0;0;0;6;6;1;0;0;1;0;1;1;3.834;3.6700001;0;;0;0;0;;1;1;CEO;General Manager;;;;;;;Finance;Statistics;0
1157;0;0;1;8;1;Economics w/ Fina Appl - BS;0;0;0;0;0;0;0;0;0;;;;8;8;1;0;0;0;0;1;1;3.222;3;1;;0;0;0;;0;0;;;;;;;;;;;
1158;0;0;0;0;0;Business - PMJ;0;1;0;0;0;0;0;0;1;0;1;0;8;8;1;0;0;0;0;1;1;3.337;3.3299999;1;;1;0;0;;0;1;;;;;;;;;Fashion/Business;;0
1159;0;0;1;4;0;Advertising - BA;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;0;0;1;1;2.838;2;0;;0;0;0;;0;1;;;;;;;;;Real Estate Finance;;0
1160;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;1;1;0;3;3;1;1;1;0;0;1;1;3.524;3;0;;0;0;0;;0;1;Real Estate;Banking;Politics;;;;;;;;0
1161;0;0;0;0;0;Economics - PMJ;0;0;0;0;0;0;0;0;0;;;;5;5;0;0;0;0;0;1;1;1.454;2;0;;0;0;0;;0;0;;;;;;;;;;;
1162;0;0;0;0;0;General Business - BBA;0;1;0;0;0;0;0;0;0;0;1;0;6;6;1;0;0;1;0;1;1;3.834;3.3299999;0;;0;0;0;;1;1;Investment Banking;Banking;Consulting;Private Equity;;;;;Real Estate Finance;;0
1163;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;;;;6;6;1;0;0;1;0;1;1;3.288;2.3299999;0;;0;0;0;;0;0;;;;;;;;;;;
1164;0;0;0;0;0;Marketing - BBA;0;0;0;1;0;0;0;0;0;1;1;0;9;9;1;0;0;1;0;1;1;3.806;4;0;;0;0;0;;1;1;;;;;;;;;Business;Advertising;0
1165;0;1;1;11;1;Economics w/ Fina Appl - BS;0;0;0;0;0;0;0;0;0;1;1;0;9;9;1;0;0;1;0;1;1;2.928;3;0;2.6700001;0;0;0;.55;0;1;;;;;;;;;Business;Real Estate;0
1166;0;0;0;0;0;Corp Comm & Public Affrs - PMJ;0;0;0;0;0;0;1;0;1;;;;;32;1;0;0;0;0;1;1;3.76;3.6700001;1;;1;0;0;;1;0;;;;;;;;;;;
1167;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;1;;;;6;6;1;0;0;1;0;1;0;3.407;2.6700001;0;;1;0;0;;0;0;;;;;;;;;;;
1168;0;0;0;0;0;Undecided DCI;0;0;0;0;0;1;0;1;0;;;;9;9;1;0;0;1;0;1;1;3.817;4;0;;0;0;0;;1;0;;;;;;;;;;;
1169;0;1;1;11;1;Economics w/ Fina Appl - BS;0;0;0;0;0;0;0;0;0;;;;3;3;1;1;1;0;0;1;1;2.884;3.3299999;0;3;0;0;0;0;0;0;;;;;;;;;;;
1170;0;0;0;0;0;Business - PMJ;0;1;0;0;0;0;0;0;0;;;;1;1;1;1;1;0;0;1;1;2.528;2;0;;0;0;0;;0;0;;;;;;;;;;;
1171;0;0;0;0;0;Marketing - BBA;0;0;0;1;0;0;0;0;1;1;0;0;9;9;1;0;0;1;0;1;1;4;4;0;;1;0;0;;1;1;Professor;Accountant;Financial consuktant;Stockbroker;;;;;Marketing;Graphic Design;0
1172;0;0;0;0;0;Accounting - BBA;0;1;0;0;0;0;0;0;0;0;1;0;3;3;1;1;1;0;0;1;1;2.85;2.6700001;0;;0;0;0;;0;1;Professor;Author;;;;;;;Finance;;0
1173;0;0;0;0;0;History - BA;0;0;0;0;0;0;0;1;0;1;1;0;8;8;1;0;0;0;0;1;1;3.793;3.3299999;1;;0;0;0;;1;1;Banking;Consulting;Academia;;;;;;Finance;;0
1174;0;0;0;0;0;Management Science - BS;0;1;0;0;0;0;0;0;0;1;1;0;2;2;1;1;1;1;0;1;1;3.255;3;0;;0;0;0;;0;1;Engineering;Business;Economics;Fine arts;;;;;EMIS Engineering;;0
1175;0;0;0;0;0;Computer Science - BS;1;0;0;0;0;0;0;0;0;0;1;0;3;3;1;1;1;0;0;0;1;3.823;3;0;;0;0;0;;1;1;;;;;;;;;Computer Science;Finance;0
