treatment,el1,index_ctotal_el1,index_foodsecurity_el1,ind_fin_el1,ind_increv_updated_el1,asset_ind_tot_el1,vil_ham
0,1,.25938678,.098861992,.5353502,3.887362,1.394563,81
1,1,-.49090362,1.8486543,-.1479591,.96012849,3.2861128,80
1,1,1.6240791,-.21378429,.10343733,.53972805,1.8949801,66
1,0,,,,,,66
1,1,2.9937141,.37808228,-.1249694,1.4934145,-.80638194,95
1,1,.33078888,2.0655677,-.23270729,.637043,2.6575978,66
1,1,.71765786,-.1813138,-.1329671,-.91610366,-.52005804,20
1,1,.96478349,1.8486543,-.23270729,-.29718056,,7
1,1,,,,,,58
0,1,1.600544,-.77318037,.51540095,-.063624665,-1.5455612,34
1,1,.86455083,1.8486543,.6169318,.21372291,2.5968046,77
0,1,.057724796,.051149033,.35580713,.33536658,-.75487489,74
1,1,.40433797,.4986659,.092453212,1.5907295,.33550856,89
1,1,.107052,.4986659,.0066715167,.25264889,,86
1,1,.30923879,.4986659,.014675229,.53972805,.1617527,53
1,1,.09710782,.4986659,-.12299249,-.56479669,-.66084862,20
0,1,-.22745007,.098861992,-.18282217,-.50154203,-1.150218,18
0,1,.91776139,.4986659,2.1841543,.36456111,.1530868,24
0,1,.50774848,-.34865487,.81463951,-.0013431808,-.85693586,10
1,1,-.12506953,-.42234424,.031632096,-1.2314041,-1.5455612,34
1,1,2.2402761,.37808228,.31587866,.47160745,,11
0,1,.77568823,.4986659,-.0082843984,-.28258339,1.0068198,26
1,1,,,,,,84
0,1,-.28628987,.4986659,-.21474095,-.063624665,-1.3478895,119
1,1,-.95029259,.37808228,-.20278344,-1.2314041,-.98152518,68
0,1,3.4422174,.37808228,-.049162306,-.039295934,-1.0546074,115
1,1,-.056006797,.4986659,.55427796,-.49570307,-.020930652,63
0,1,.43885732,.4986659,.11292521,1.7561647,.62462753,86
1,1,.74928403,.4986659,.23012698,-1.2314041,-.95254648,53
0,1,-.26650479,.4986659,.0017082439,-.50154203,-1.3376393,66
1,1,.78086072,1.8486543,4.6000066,.58643919,2.63131,50
1,1,.043872565,1.8486543,-.2426879,-.74482936,-.44049093,66
1,1,.74818063,.098861992,-.14693759,.28670913,,23
1,1,.24026427,.4986659,-.10202778,3.4397137,-.034334522,19
1,1,.36129719,.4986659,.12138561,-.6475144,,39
0,1,,,,,,58
1,1,.94539618,1.8486543,-.24269392,1.2987846,,18
0,1,,,,,,108
0,1,-.30682459,-.42234424,.26603562,.29644069,1.9889759,34
1,1,-.078166157,.098861992,2.2111855,1.2987846,1.7067448,8
1,1,1.1988175,.4986659,.03661938,1.5664006,-.33786693,77
1,1,.98817205,.37808228,-.023252351,-.55019945,,11
0,1,-.88762873,.4986659,-.25663435,-1.2314041,-1.5455612,52
1,1,,,,,,84
1,1,-.84097737,.4986659,2.78161,.28087017,.43018234,68
0,1,.44263312,-.34865487,-.13993132,.053153228,-.59331691,63
1,1,1.9637287,.37808228,-.24268189,-.6475144,-.19904086,39
1,1,.74457699,.37808228,.026644764,-1.2314041,-1.150218,50
0,1,-.23789471,.4986659,-.15210035,.59325123,.10370742,53
0,1,.42802101,.4986659,.11638626,1.0457658,.1449935,26
1,1,,,,,,110
1,1,.2077263,.098861992,-.093050636,.28670913,,46
1,1,1.1417429,.37808228,.15132749,-.041242249,-1.5455612,27
0,1,-.34501174,.4986659,.46702409,-.3555696,.14660197,34
0,1,-.58935505,-.82214814,.23111239,-.049027499,-.28588647,8
1,1,,,,,,77
0,1,.087781541,.4986659,.99416465,-1.2314041,.29229307,11
0,1,-.16155061,1.8486543,-.16287293,.27697757,-.85693586,73
0,1,1.7224883,.37808228,-.22072572,-1.2314041,-1.7432327,97
0,1,.23061489,.098861992,-.1329491,1.3960996,-1.150218,15
1,1,1.2039948,.37808228,-.13198167,-.79348683,2.365351,53
1,1,-.11977426,.4986659,-.13696298,.33925921,.8586762,58
1,1,-.38861185,.4986659,-.12199504,.00936154,-.19797382,31
1,1,,,,,,77
1,1,.11283798,.4986659,-.26960135,-.74482936,-.85693586,54
1,1,,,,,,83
0,1,.089164518,.051149033,-.1962879,-.32053614,-1.150218,37
1,1,1.2791326,1.8486543,2.8394804,-1.2314041,-1.5455612,79
1,1,,,,,,97
1,1,-.09447334,-.82214814,1.2135942,3.887362,,38
0,1,-.34718871,2.0655677,-.27658358,-.55019945,-1.0546074,6
1,1,.54883808,2.0655677,.49043444,-.69617188,1.3048322,108
0,1,-.050343771,.37808228,.66502023,.033690274,-1.3478895,53
1,1,.18354295,.37808228,-.20775871,-.89080179,-1.7432327,19
1,1,-.081675947,.02517264,.35579509,-.50154203,,111
1,1,.96865755,.098861992,.050559819,-.45288453,.64371401,7
0,1,,,,,,6
